41, 113
64, 113
142, 113
224, 113
301, 113
35, 112
196, 112
172, 110
42, 105
64, 103
225, 103
302, 103
25, 101
186, 101
267, 101
342, 101
279, 99
130, 96
268, 95
51, 94
62, 94
68, 94
77, 94
129, 94
140, 94
146, 94
156, 94
211, 94
222, 94
228, 94
238, 94
268, 94
289, 94
299, 94
305, 94
314, 94
39, 93
118, 93
188, 93
199, 93
278, 93
344, 93
354, 93
27, 92
39, 92
108, 92
118, 92
188, 92
278, 92
39, 91
51, 91
118, 91
129, 91
199, 91
222, 91
269, 91
278, 91
289, 91
354, 91
27, 90
39, 90
51, 90
61, 90
68, 90
77, 90
108, 90
118, 90
129, 90
139, 90
146, 90
156, 90
199, 90
228, 90
238, 90
269, 90
278, 90
289, 90
299, 90
305, 90
314, 90
354, 90
77, 88
129, 88
156, 88
229, 88
238, 88
269, 88
314, 88
38, 87
51, 87
61, 87
117, 87
129, 87
139, 87
198, 87
210, 87
221, 87
277, 87
298, 87
353, 87
117, 82
148, 82
270, 82
345, 82
38, 80
50, 80
60, 80
78, 80
117, 80
128, 80
138, 80
209, 80
230, 80
277, 80
288, 80
353, 80
209, 78
80, 71
111, 71
159, 71
191, 71
347, 71
71, 70
308, 70
56, 69
3, 68
56, 68
71, 68
134, 68
192, 68
294, 68
308, 68
317, 68
31, 67
56, 67
112, 67
134, 67
192, 67
215, 67
272, 67
348, 67
56, 65
134, 65
215, 65
80, 64
159, 64
241, 64
317, 64
31, 63
80, 63
112, 63
159, 63
192, 63
241, 63
272, 63
317, 63
348, 63
31, 58
112, 58
192, 58
272, 58
348, 58
272, 57
112, 56
192, 56
272, 56
348, 56
81, 55
160, 55
318, 55
323, 55
81, 54
160, 54
242, 54
318, 54
112, 53
192, 53
32, 52
318, 52
348, 52
242, 51
81, 48
151, 48
160, 48
192, 48
233, 48
242, 48
273, 48
318, 48
348, 48
32, 47
81, 47
192, 47
273, 47
348, 47
185, 46
42, 45
53, 45
64, 45
81, 45
98, 45
121, 45
131, 45
143, 45
151, 45
160, 45
178, 45
202, 45
213, 45
225, 45
233, 45
242, 45
260, 45
281, 45
291, 45
302, 45
318, 45
334, 45
1, 44
35, 44
85, 44
115, 44
164, 44
195, 44
246, 44
321, 44
351, 44
1, 43
74, 43
153, 43
164, 43
235, 43
246, 43
311, 43
321, 43
34, 37
54, 37
73, 37
132, 37
213, 37
292, 37
310, 37
350, 37
23, 36
34, 36
54, 36
104, 36
152, 36
207, 36
234, 36
265, 36
292, 36
340, 36
350, 36
319, 33
18, 32
99, 32
179, 32
261, 32
336, 32
179, 31
6, 28
89, 28
168, 28
250, 28
325, 28
6, 27
13, 27
18, 27
100, 27
162, 27
175, 27
180, 27
257, 27
319, 27
332, 27
336, 27
44, 25
204, 25
319, 25
162, 24
244, 24
6, 23
89, 23
100, 23
180, 23
6, 22
18, 22
44, 22
89, 22
96, 22
169, 22
175, 22
204, 22
257, 22
332, 22
336, 22
6, 21
14, 21
18, 21
89, 21
96, 21
100, 21
169, 21
175, 21
180, 21
251, 21
257, 21
332, 21
336, 21
44, 19
6, 18
14, 18
19, 18
45, 18
123, 18
169, 18
176, 18
181, 18
204, 18
251, 18
262, 18
283, 18
326, 18
46, 16
264, 16
284, 16
319, 16
339, 16
8, 15
46, 15
91, 15
124, 15
170, 15
205, 15
252, 15
284, 15
327, 15
8, 14
162, 14
170, 14
252, 14
327, 14
8, 13
46, 13
124, 13
170, 13
205, 13
252, 13
284, 13
327, 13
46, 12
124, 12
170, 12
205, 12
252, 12
284, 12
327, 12
7, 10
170, 10
252, 10
102, 6
182, 6
205, 5
181, 4
326, 4
7, 3
90, 3
101, 3
169, 3
283, 3
326, 3
45, 2
123, 2
176, 2
204, 2
258, 2
283, 2
333, 2
176, 1
258, 1
333, 1
