-4670.873521316664700,-5114.271037328139800,-4718.908760346157600,-5171.907922692124000,-4670.873521316664700,-5114.271037328139800,-4731.711363355691000,-5187.269606675167800,
-4718.908760346157600,-5171.907922692124000,-4761.481976150224000,-5223.100279103966400,-4706.120516123161000,-5156.530640432472900,-4774.270220373220600,-5238.477561363617500,
-4761.481976150224000,-5223.100279103966400,-4810.335710134003400,-5281.986764147298300,-4748.712000055145800,-5207.707822820092600,-4823.105686229081600,-5297.379220431172100,
-4810.335710134003400,-5281.986764147298300,-4853.914741075595000,-5336.117270486614900,-4797.793675224786100,-5266.408017075222200,-4866.456775984812300,-5351.696017558691900,
-4853.914741075595000,-5336.117270486614900,-4883.275997184227000,-5372.341109914639700,-4841.321143673179900,-5320.580176041366900,-4895.869594586642100,-5387.878204359887600,
-4883.275997184227000,-5372.341109914639700,-4921.881736491510300,-5418.115635391424800,-4870.381803403062800,-5357.052559752225500,-4934.775930272673600,-5433.404185553838900,
-4921.881736491510300,-5418.115635391424800,-4958.950963902219900,-5460.147459265370300,-4908.653000682207700,-5403.115622663860400,-4972.179699711522500,-5475.147471992934700,
-4958.950963902219900,-5460.147459265370300,-5010.255668441877800,-5509.196806597038600,-4944.494753848230200,-5446.326538351248000,-5024.711878495867500,-5523.017727511161900,
-5010.255668441877800,-5509.196806597038600,-5065.993276867006900,-5553.530508639016300,-4994.603370665706300,-5496.746692029484600,-5081.645574643178400,-5565.980623206569400,
-5065.993276867006900,-5553.530508639016300,-5119.578124384064700,-5587.796028055492600,-5049.143948317957400,-5542.755551321986800,-5136.427452933114200,-5598.570985372522000,
-5119.578124384064700,-5587.796028055492600,-5167.036812510853500,-5610.988925395638900,-5101.609093052193200,-5579.014576480678400,-5185.005843842724100,-5619.770376970453100,
-5167.036812510853500,-5610.988925395638900,-5210.920363512605000,-5629.813472961042900,-5148.656621257288000,-5603.104230492455800,-5229.300554766170500,-5637.698167864226000,
-5210.920363512605000,-5629.813472961042900,-5277.421216656433000,-5652.444465725295200,-5191.986724480787400,-5623.370082783771100,-5296.354855688250600,-5658.887855902567000,
-5277.421216656433000,-5652.444465725295200,-5338.109482298357800,-5668.788596760699000,-5258.109299589220400,-5647.243517813314600,-5357.421399365570300,-5673.989544672678700,
-5338.109482298357800,-5668.788596760699000,-5413.835991152122900,-5688.617911846955400,-5318.761798498422600,-5663.722322845502300,-5433.183674952057100,-5693.684185762152100,
-5413.835991152122900,-5688.617911846955400,-5487.929442227717100,-5709.496997614535800,-5394.585700048679400,-5683.193311783105900,-5507.179733331160600,-5714.921597678385300,
-5487.929442227717100,-5709.496997614535800,-5562.177939844759700,-5734.028935715492500,-5468.939128641070100,-5703.222610103047400,-5581.168253431406800,-5740.303323226980900,
-5562.177939844759700,-5734.028935715492500,-5622.269871482948500,-5759.007235597052400,-5543.709860878908300,-5726.352344069152400,-5640.737950448799900,-5766.683827243392400,
-5622.269871482948500,-5759.007235597052400,-5688.763323784922200,-5786.085171365288300,-5603.746857087140600,-5751.464163446151400,-5707.286338180731000,-5793.628243516190200,
-5688.763323784922200,-5786.085171365288300,-5751.455628161885200,-5812.965087220610300,-5670.381674624826700,-5778.203866007714200,-5769.837277321980800,-5820.846392578184300,
-5751.455628161885200,-5812.965087220610300,-5806.998947743054500,-5836.172986219608000,-5733.001779228912700,-5805.254353871637200,-5825.452796676027000,-5843.883719568581000,
-5806.998947743054500,-5836.172986219608000,-5871.933871102376500,-5858.435300052143200,-5788.079933751732800,-5829.686777197035600,-5890.852885093698200,-5864.921509074716600,
-5871.933871102376500,-5858.435300052143200,-5929.424489835924800,-5876.137238635265900,-5852.819462451740900,-5852.549777067741200,-5948.538898486560400,-5882.022761619668000,
-5929.424489835924800,-5876.137238635265900,-6006.553121007084900,-5897.763584304789200,-5910.167177196521200,-5870.737617382727000,-6025.810433646489400,-5903.163205557328200,
-6006.553121007084900,-5897.763584304789200,-6066.938387268128300,-5913.415391618977100,-5987.192898597522800,-5892.745438597414200,-6086.298609677689500,-5918.433537326353000,
-6066.938387268128300,-5913.415391618977100,-6142.360445084460500,-5935.347495254457500,-6047.733876458537500,-5907.830880488687400,-6161.564955894050400,-5940.932006384747200,
