-4663.1916035759859,-5120.6732353745492,-4678.5554390573434,-5107.8688392817303,-4711.2201192162111,-5178.3020448034767,-4726.5974014761041,-5165.5138005807712,-4663.1916035759859,-5120.6732353745492,-4678.5554390573434,-5107.8688392817303,-4724.0209302728899,-5193.6615763460923,-4739.4017964384911,-5180.8776370042433,
-4711.2201192162111,-5178.3020448034767,-4726.5974014761041,-5165.5138005807712,-4753.7857478336191,-5229.4852669425372,-4769.1782044668289,-5216.7152912653955,-4698.4318733649907,-5162.9247638979095,-4713.8091588813313,-5150.1365169670362,-4766.5739936848395,-5244.8625478481044,-4781.9664470616017,-5232.0925748791306,
-4753.7857478336191,-5229.4852669425372,-4769.1782044668289,-5216.7152912653955,-4802.5463366003269,-5288.2577816048451,-4818.12508366768,-5275.7157466897515,-4741.0155538139988,-5214.0929914544467,-4756.4084462962928,-5201.3226541857384,-4815.3165306199471,-5303.6500570929356,-4830.8948418382161,-5291.1083837694086,
-4802.5463366003269,-5288.2577816048451,-4818.12508366768,-5275.7157466897515,-4846.1461949205213,-5342.414070518098,-4861.6832872306686,-5329.8204704551317,-4790.0042893778973,-5272.6790444458084,-4805.5830610716748,-5260.1369897046352,-4858.6882421429509,-5357.9928076771348,-4874.2253098266738,-5345.3992274402481,
-4846.1461949205213,-5342.414070518098,-4861.6832872306686,-5329.8204704551317,-4875.6317230668274,-5378.7882079608971,-4890.9202713016266,-5365.8940118683822,-4833.551963861988,-5326.87748968304,-4849.0903234843709,-5314.2828623996929,-4888.2259541253607,-5394.3247887959551,-4903.5132350479244,-5381.431619923821,
-4875.6317230668274,-5378.7882079608971,-4890.9202713016266,-5365.8940118683822,-4914.3817934119379,-5424.7300782102238,-4929.3816795710827,-5411.5011925726258,-4862.7369058491568,-5363.5001835979238,-4878.0267009569698,-5350.6049359065273,-4927.2766106296085,-5440.0181025731972,-4942.2752499157396,-5426.7902685344807,
-4914.3817934119379,-5424.7300782102238,-4929.3816795710827,-5411.5011925726258,-4952.0405562224751,-5467.3756171012037,-4965.8613715819647,-5452.919301429537,-4901.1433636985303,-5409.7386146818299,-4916.1626376658851,-5396.492630645891,-4965.2789859358827,-5482.3670806295977,-4979.0804134871623,-5467.9278633562717,
-4952.0405562224751,-5467.3756171012037,-4965.8613715819647,-5452.919301429537,-5004.03069352492,-5517.0230245395223,-5016.4806433588356,-5501.3705886545549,-4937.576288424807,-5453.5631243110756,-4951.4132192716543,-5439.0899523914195,-5018.4949613225881,-5530.8355173296504,-5030.928795669146,-5515.1999376926724,
-5004.03069352492,-5517.0230245395223,-5016.4806433588356,-5501.3705886545549,-5060.6059506713455,-5561.955276675083,-5071.3806030626683,-5545.1057406029495,-4988.3691293798875,-5504.5845596611289,-5000.8376119515251,-5488.9088243978413,-5076.267514816378,-5574.3937415534765,-5087.0236344699788,-5557.5675048596631,
-5060.6059506713455,-5561.955276675083,-5071.3806030626683,-5545.1057406029495,-5115.187417807314,-5596.7805534050522,-5123.9688309608155,-5578.811502705933,-5043.7455513736368,-5551.197631230013,-5054.5423452622781,-5534.3134714139615,-5132.0478171050227,-5607.5381988501222,-5140.8070887612057,-5589.603771894921,
